BISha1,oldPath,Path,FixSha1,BIDate,FixDate,LineNumInBI,LineNumInPreFix,isAddedLine,Line
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpConnection.java,okhttp/src/main/java/com/squareup/okhttp/Connection.java,98c74ace40b089f2769afb3e56c59a64eef327cb,2012-07-23 14:02:28,2014-12-29 15:10:00,256,325,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpConnectionPool.java,okhttp/src/main/java/com/squareup/okhttp/ConnectionPool.java,98c74ace40b089f2769afb3e56c59a64eef327cb,2012-07-23 14:02:28,2014-12-29 15:10:00,149,244,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,295,341,TRUE,deleteIfExists(journalFileTmp);
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,344,399,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,346,401,TRUE,private static void deleteIfExists(File file) throws IOException {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,466,533,TRUE,if (dirty.exists()) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,468,535,TRUE,dirty.renameTo(clean);
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,470,537,TRUE,long newLength = clean.length();
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,49e85a1fd2ac13945be30a161286a50c0fa7485b,2012-07-23 14:02:28,2015-03-14 19:16:01,475,542,TRUE,deleteIfExists(dirty);
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,410,451,TRUE,} else if (entry.currentEditor != null) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,419,460,TRUE,journalWriter.flush();
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,736,902,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,749,907,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,752,910,TRUE,try {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,754,912,TRUE,} catch (IOException e) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,755,914,TRUE,hasErrors = true;
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,756,916,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,757,917,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,760,920,TRUE,try {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,762,922,TRUE,} catch (IOException e) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,763,924,TRUE,hasErrors = true;
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,764,926,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,765,927,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,768,930,TRUE,try {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,770,932,TRUE,} catch (IOException e) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/io/DiskLruCache.java,okhttp/src/main/java/com/squareup/okhttp/internal/DiskLruCache.java,6a683da022ae6f7507b6a96b5d2790881e8c7549,2012-07-23 14:02:28,2015-03-14 23:02:35,771,934,TRUE,hasErrors = true;
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/AbstractHttpInputStream.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/AbstractHttpInputStream.java,f6f3497ef7d01c2e11b68ca96b7f84e566e6c745,2012-07-23 14:02:28,2014-01-18 17:24:47,39,39,TRUE,private final OutputStream cacheBody;
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/SpdyTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/FramedTransport.java,bf560c1b253c1a6d157ee4839f4bb1b31a790f48,2012-07-23 14:02:28,2015-11-22 15:25:50,90,218,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpEngine.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpEngine.java,97741e94fba896f2aede30aecb789efe409202cf,2012-07-23 14:02:28,2014-01-22 3:47:50,427,404,TRUE,private void initContentStream(InputStream transferStream) throws IOException {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpEngine.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpEngine.java,97741e94fba896f2aede30aecb789efe409202cf,2012-07-23 14:02:28,2014-01-22 3:47:50,634,564,TRUE,if (hasResponseBody()) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpEngine.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpEngine.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,306,308,TRUE,boolean hasRequestBody() {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpEngine.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpEngine.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,306,308,TRUE,boolean hasRequestBody() {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,85,41,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,85,41,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,98,52,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/HttpTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/HttpTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,98,52,TRUE,}
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/SpdyTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/SpdyTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,55,89,TRUE,boolean hasRequestBody = httpEngine.hasRequestBody();
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/SpdyTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/SpdyTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,55,89,TRUE,boolean hasRequestBody = httpEngine.hasRequestBody();
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/SpdyTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/SpdyTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,62,99,TRUE,throw new UnsupportedOperationException();
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/http/SpdyTransport.java,okhttp/src/main/java/com/squareup/okhttp/internal/http/SpdyTransport.java,64b607fc113cec3c18d04574ee1c024192d8cc43,2012-07-23 14:02:28,2014-11-11 2:20:51,62,99,TRUE,throw new UnsupportedOperationException();
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/spdy/SpdyConnection.java,okhttp/src/main/java/com/squareup/okhttp/internal/spdy/SpdyConnection.java,889bc764a5f1627090a69e6e100bcd18474dfb86,2012-07-23 14:02:28,2014-04-18 15:58:54,73,126,TRUE,private SpdyConnection(Builder builder) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/spdy/SpdyConnection.java,okhttp/src/main/java/com/squareup/okhttp/internal/spdy/SpdyConnection.java,889bc764a5f1627090a69e6e100bcd18474dfb86,2012-07-23 14:02:28,2014-04-18 15:58:54,213,533,TRUE,public SpdyConnection build() {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/spdy/SpdyConnection.java,okhttp/src/main/java/com/squareup/okhttp/internal/spdy/SpdyConnection.java,fb155c47661ede5da395dfb4e620867263b8c8e7,2012-07-23 14:02:28,2015-04-14 15:54:25,250,643,TRUE,} catch (IOException e) {
ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,src/main/java/libcore/net/spdy/SpdyConnection.java,okhttp/src/main/java/com/squareup/okhttp/internal/spdy/SpdyConnection.java,fb155c47661ede5da395dfb4e620867263b8c8e7,2012-07-23 14:02:28,2015-04-14 15:54:25,250,643,TRUE,} catch (IOException e) {
